ability,apiName,cost,icon,name,stats,traits
"{'desc': 'Sylas whirls his chains around him, dealing <scaleHealth>@ModifiedPercentHealthDamage@</scaleHealth> (@PercentHealth*100@% Maximum Health %i:scaleHealth%) magic damage to nearby enemies and healing himself for @ModifiedHealAmount@ Health.', 'icon': 'ASSETS/Characters/Sylas/HUD/Icons2D/SylasQ.dds', 'name': 'Battle Blast', 'variables': [{'name': 'PercentHealth', 'value': [0.0, 0.10000000149011612, 0.11999999731779099, 0.15000000596046448, 300.0, 375.0, 450.0]}, {'name': 'HealAmount', 'value': [0.5, 150.0, 170.0, 190.0, 0.5, 0.5, 0.5]}]}",TFT8_Sylas,1,ASSETS/UX/TFT/ChampionSplashes/TFT8_Sylas.TFT_Set8.dds,Sylas,"{'armor': 45.0, 'attackSpeed': 0.550000011920929, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 50.0, 'hp': 700.0, 'initialMana': 30.0, 'magicResist': 45.0, 'mana': 80.0, 'range': 1.0}","['Anima Squad', 'Renegade']"
"{'desc': 'Nasus slams his staff on his target, dealing <scaleAD>@TotalDamage@</scaleAD> physical damage (@ADPercent*100@% Attack Damage %i:scaleAD% + @ModifiedBonusDamage@) and @ASSlowPercent*100@% <TFTKeyword>Chilling</TFTKeyword> them for @Duration@ seconds.<br><br><tftitemrules><tftbold>Chill</tftbold>: reduce Attack Speed</tftitemrules>', 'icon': 'ASSETS/Characters/Nasus/HUD/Icons2D/Nasus_Q.dds', 'name': 'Bonk!', 'variables': [{'name': 'BonusDamage', 'value': [0.0, 60.0, 90.0, 135.0, 0.0, 0.0, 0.0]}, {'name': 'ADPercent', 'value': [2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]}, {'name': 'Duration', 'value': [3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]}, {'name': 'ASSlowPercent', 'value': [0.4000000059604645, 0.4000000059604645, 0.4000000059604645, 0.4000000059604645, 0.4000000059604645, 0.4000000059604645, 0.4000000059604645]}]}",TFT8_Nasus,1,ASSETS/UX/TFT/ChampionSplashes/TFT8_Nasus.TFT_Set8.dds,Nasus,"{'armor': 40.0, 'attackSpeed': 0.6499999761581421, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 65.0, 'hp': 650.0, 'initialMana': 0, 'magicResist': 40.0, 'mana': 60.0, 'range': 1.0}","['Anima Squad', 'Mascot']"
"{'desc': 'Jinx fires a rocket at her target that explodes on impact, damaging all nearby enemies for @ModifiedDamage@ magic damage and <TFTKeyword>Stunning</TFTKeyword> them for @StunDuration@ seconds.<br><br><tftitemrules><tftbold>Stun</tftbold>: cannot move, attack, or cast Abilities</tftitemrules><br><br>', 'icon': 'ASSETS/Characters/Jinx/HUD/Icons2D/Jinx_Q1.dds', 'name': 'Fishbones', 'variables': [{'name': 'Damage', 'value': [0.0, 225.0, 335.0, 525.0, 900.0, 900.0, 900.0]}, {'name': 'StunDuration', 'value': [0.0, 1.5, 1.5, 1.5, 3.0, 3.0, 3.0]}]}",TFT8_Jinx,2,ASSETS/UX/TFT/ChampionSplashes/TFT8_Jinx.TFT_Set8.dds,Jinx,"{'armor': 20.0, 'attackSpeed': 0.699999988079071, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 50.0, 'hp': 550.0, 'initialMana': 20.0, 'magicResist': 20.0, 'mana': 80.0, 'range': 4.0}","['Anima Squad', 'Prankster']"
"{'desc': 'Vayne fires a heavy bolt at her target, dealing <scaleAD>@TotalDamage@</scaleAD> true damage (@ADPercent*100@% Attack Damage %i:scaleAD% + @ModifiedDamage@).', 'icon': 'ASSETS/Characters/Vayne/HUD/Icons2D/Vayne_Condemn.dds', 'name': 'Silver Bolt', 'variables': [{'name': 'Damage', 'value': [0.0, 18.0, 25.0, 45.0, 900.0, 900.0, 900.0]}, {'name': 'ADPercent', 'value': [1.7000000476837158, 1.5, 1.5, 1.600000023841858, 1.7000000476837158, 1.7000000476837158, 1.7000000476837158]}]}",TFT8_Vayne,3,ASSETS/UX/TFT/ChampionSplashes/TFT8_Vayne.TFT_Set8.dds,Vayne,"{'armor': 25.0, 'attackSpeed': 0.800000011920929, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 60.0, 'hp': 600.0, 'initialMana': 0, 'magicResist': 25.0, 'mana': 40.0, 'range': 4.0}","['Anima Squad', 'Duelist']"
"{'desc': 'Riven gains a @ModifiedShield@ Health shield for @ShieldDuration@ seconds and empowers her next @NumberOfAttacks@ attacks with @ModifiedDamage@ bonus magic damage. If Riven has more Health than her target, she deals @PercentDamageIncrease@% more bonus magic damage.', 'icon': 'ASSETS/Characters/Riven/HUD/Icons2D/RivenBladeoftheExile.dds', 'name': 'Bunny Blade', 'variables': [{'name': 'ShieldAmount', 'value': [0.0, 325.0, 400.0, 500.0, 0.0, 0.0, 0.0]}, {'name': 'ShieldDuration', 'value': [4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]}, {'name': 'Damage', 'value': [0.0, 90.0, 135.0, 225.0, 0.0, 0.0, 0.0]}, {'name': 'NumberOfAttacks', 'value': [0.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0]}, {'name': 'PercentDamageIncrease', 'value': [100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]}]}",TFT8_Riven,3,ASSETS/UX/TFT/ChampionSplashes/TFT8_Riven.TFT_Set8.dds,Riven,"{'armor': 45.0, 'attackSpeed': 0.6499999761581421, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 50.0, 'hp': 700.0, 'initialMana': 30.0, 'magicResist': 45.0, 'mana': 90.0, 'range': 1.0}","['Anima Squad', 'Brawler', 'Defender']"
"{'desc': 'Miss Fortune fires @WaveCount@ waves of bullets towards the largest group of enemies within channels for @ChannelDuration@ seconds. Enemies take @ModifiedDamage@ magic damage from the first bullet that hits them, and @ModifiedReducedDamage@ magic damage from any other bullets that hit.', 'icon': 'ASSETS/Characters/MissFortune/HUD/Icons2D/MissFortune_R.dds', 'name': 'Bullet Time', 'variables': [{'name': 'WaveCount', 'value': [8.0, 8.0, 8.0, 8.0, 8.0, 8.0, 8.0]}, {'name': 'Damage', 'value': [0.0, 35.0, 55.0, 150.0, 120.0, 120.0, 120.0]}, {'name': 'ChannelDuration', 'value': [2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]}, {'name': 'ReducedDamage', 'value': [0.0, 20.0, 30.0, 100.0, 0.0, 0.0, 0.0]}]}",TFT8_MissFortune,4,ASSETS/UX/TFT/ChampionSplashes/TFT8_MissFortune.TFT_Set8.dds,Miss Fortune,"{'armor': 30.0, 'attackSpeed': 0.699999988079071, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 60.0, 'hp': 750.0, 'initialMana': 0, 'magicResist': 30.0, 'mana': 120.0, 'range': 4.0}","['Anima Squad', 'Ace', 'Quickdraw']"
"{'desc': 'Janna sends a twister towards the largest group of enemies. The twister expands when it reaches its destination, knocking all nearby enemies up in the air, <TFTKeyword>Stunning</TFTKeyword> them for @StunDuration@ seconds, and dealing @TotalMagicDamage@ magic damage over for @DamageDuration@ seconds.<br><br><tftitemrules><tftbold>Stun</tftbold>: cannot move, attack, or cast Abilities</tftitemrules>', 'icon': 'ASSETS/Characters/Janna/HUD/Icons2D/Janna_ReapTheWhirlwind.dds', 'name': 'Twister!', 'variables': [{'name': 'Damage', 'value': [0.0, 450.0, 675.0, 6000.0, 0.0, 0.0, 0.0]}, {'name': 'DamageDuration', 'value': [0.0, 3.0, 3.0, 3.0, 0.0, 0.0, 0.0]}, {'name': 'StunDuration', 'value': [0.0, 1.25, 1.5, 8.0, 0.0, 0.0, 0.0]}, {'name': 'HexRadius', 'value': [0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]}, {'name': 'SmallKnockup', 'value': [0.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0]}]}",TFT8_Janna,5,ASSETS/UX/TFT/ChampionSplashes/TFT8_Janna.TFT_Set8.dds,Janna,"{'armor': 45.0, 'attackSpeed': 0.800000011920929, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 50.0, 'hp': 800.0, 'initialMana': 40.0, 'magicResist': 45.0, 'mana': 120.0, 'range': 4.0}","['Forecaster', 'Spellslinger']"
"{'desc': ""Lux sends out a singularity to her current target. When it detonates, it reduces the target's Attack Damage by @ADReduction*100@% for @Duration@ seconds, and deals @ModifiedDamage@ to nearby enemies."", 'icon': 'ASSETS/Characters/Lux/HUD/Icons2D/LuxLightStrikeKugel.dds', 'name': 'Lucent Singularity', 'variables': [{'name': 'Duration', 'value': [4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]}, {'name': 'Damage', 'value': [0.0, 200.0, 300.0, 450.0, 0.0, 0.0, 0.0]}, {'name': 'ADReduction', 'value': [0.4000000059604645, 0.4000000059604645, 0.4000000059604645, 0.4000000059604645, 0.4000000059604645, 0.4000000059604645, 0.4000000059604645]}]}",TFT8_Lux,1,ASSETS/UX/TFT/ChampionSplashes/TFT8_Lux.TFT_Set8.dds,Lux,"{'armor': 15.0, 'attackSpeed': 0.699999988079071, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 40.0, 'hp': 500.0, 'initialMana': 0, 'magicResist': 15.0, 'mana': 70.0, 'range': 4.0}","['Star Guardian', 'Spellslinger']"
"{'desc': 'Nilah whirls her whip-blade, dealing @WhirlDamage@ magic damage to nearby enemies while healing herself and allies for @ModifiedHealAmount@ Health over @HealingSeconds@ second. She finishes with a burst that deals @BurstDamage@ magic damage.', 'icon': 'ASSETS/Characters/Nilah/HUD/Icons2D/NilahR.Nilah.dds', 'name': 'Apotheosis', 'variables': [{'name': 'StartDamage', 'value': [75.0, 90.0, 135.0, 225.0, 0.5, 0.5, 0.5]}, {'name': 'HealAmount', 'value': [0.0, 235.0, 270.0, 330.0, 0.0, 0.0, 0.0]}, {'name': 'EndDamage', 'value': [75.0, 90.0, 135.0, 225.0, 0.5, 0.5, 0.5]}, {'name': 'CastTime', 'value': [0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}, {'name': 'HealingSeconds', 'value': [0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]}]}",TFT8_Nilah,3,ASSETS/UX/TFT/ChampionSplashes/TFT8_Nilah.TFT_Set8.dds,Nilah,"{'armor': 50.0, 'attackSpeed': 0.699999988079071, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 45.0, 'hp': 800.0, 'initialMana': 50.0, 'magicResist': 50.0, 'mana': 125.0, 'range': 1.0}","['Star Guardian', 'Duelist']"
"{'desc': ""Passive: Kai'Sa's attacks apply Plasma. Her next attack against a target with 2 stacks of Plasma deals @ModifiedDamage@ magic damage and removes the Plasma.<br><br>Active: Kai'Sa gains @AttackSpeed*100@% Attack Speed for @Duration@ seconds. This bonus stacks!<br>"", 'icon': 'ASSETS/Characters/Kaisa/HUD/Icons2D/Kaisa_E2.dds', 'name': 'Starcharged', 'variables': [{'name': 'AttackSpeed', 'value': [0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75]}, {'name': 'Damage', 'value': [0.15000000596046448, 110.0, 150.0, 240.0, 0.15000000596046448, 0.15000000596046448, 0.15000000596046448]}, {'name': 'Duration', 'value': [10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]}, {'name': 'MonsterCap', 'value': [250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0]}]}",TFT8_Kaisa,3,ASSETS/UX/TFT/ChampionSplashes/TFT8_Kaisa.TFT_Set8.dds,Kai'Sa,"{'armor': 25.0, 'attackSpeed': 0.800000011920929, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 35.0, 'hp': 650.0, 'initialMana': 20.0, 'magicResist': 25.0, 'mana': 105.0, 'range': 4.0}","['Star Guardian', 'Quickdraw']"
"{'desc': ""Rell forms a tether between herself and her lowest percent Health ally, dealing @ModifiedDamage@ magic damage to all enemies between herself and her bound ally. She also grants herself and her bound ally @Resists@% of Rell's current Armor and Magic Resist for @Duration@ seconds."", 'icon': 'ASSETS/Characters/Rell/HUD/Icons2D/RellE.dds', 'name': 'Iron Bond', 'variables': [{'name': 'Resists', 'value': [40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0]}, {'name': 'Damage', 'value': [75.0, 140.0, 210.0, 325.0, 375.0, 450.0, 525.0]}, {'name': 'Duration', 'value': [4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]}]}",TFT8_Rell,2,ASSETS/UX/TFT/ChampionSplashes/TFT8_Rell.TFT_Set8.dds,Rell,"{'armor': 50.0, 'attackSpeed': 0.5, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 60.0, 'hp': 800.0, 'initialMana': 80.0, 'magicResist': 50.0, 'mana': 150.0, 'range': 1.0}","['Star Guardian', 'Defender']"
"{'desc': 'Ekko dives in, granting himself a @ModifiedShieldAmount@ shield for @Duration@ seconds and taunts nearby enemies. When the shield breaks, he emits a time field, dealing @ModifiedDamage@ to nearby enemies and slowing their attack speed by @ASReduction*100@% for @SlowDuration@ seconds.', 'icon': 'ASSETS/Characters/Ekko/HUD/Icons2D/Ekko_E.dds', 'name': 'Star Diver', 'variables': [{'name': 'ShieldAmount', 'value': [0.0, 550.0, 700.0, 3000.0, 0.0, 0.0, 0.0]}, {'name': 'ASReduction', 'value': [0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]}, {'name': 'Duration', 'value': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]}, {'name': 'SlowDuration', 'value': [2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]}, {'name': 'Damage', 'value': [0.0, 100.0, 150.0, 1500.0, 0.0, 0.0, 0.0]}]}",TFT8_Ekko,4,ASSETS/UX/TFT/ChampionSplashes/TFT8_Ekko.TFT_Set8.dds,Ekko,"{'armor': 60.0, 'attackSpeed': 0.6000000238418579, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 60.0, 'hp': 1000.0, 'initialMana': 70.0, 'magicResist': 60.0, 'mana': 140.0, 'range': 1.0}","['Star Guardian', 'Prankster', 'Aegis']"
"{'desc': 'Syndra grants a @ModifiedShieldAmount@ Health shield to a random champion on your bench, then flings them into the arena inside an orb at her closest enemy. The orb deals @ModifiedDamage@ magic damage to enemies hit. <br><br><tftitemrules>Traits of champions flung onto the board do not become active, except for Corrupted.</tftitemrules>', 'icon': 'ASSETS/Characters/Syndra/HUD/Icons2D/SyndraW2.dds', 'name': 'Force of Will', 'variables': [{'name': 'ShieldAmount', 'value': [0.0, 200.0, 600.0, 4000.0, 160.0, 200.0, 240.0]}, {'name': 'StunDuration', 'value': [0.5, 1.0, 1.5, 8.0, 0.5, 0.5, 0.5]}, {'name': 'Damage', 'value': [0.0, 250.0, 375.0, 2500.0, 0.0, 0.0, 0.0]}]}",TFT8_Syndra,5,ASSETS/UX/TFT/ChampionSplashes/TFT8_Syndra.TFT_Set8.dds,Syndra,"{'armor': 40.0, 'attackSpeed': 0.8500000238418579, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 40.0, 'hp': 850.0, 'initialMana': 70.0, 'magicResist': 40.0, 'mana': 125.0, 'range': 4.0}","['Star Guardian', 'Heart']"
"{'desc': 'Combat start: H4kerr!m picks up the unit in the rider hex and then charges directly forward into the enemy backline.', 'icon': 'ASSETS/Characters/Hecarim/HUD/Icons2D/Hecarim_OnslaughtofShadows.dds', 'name': 'Infiltration', 'variables': [{'name': 'DefenseGain', 'value': [10.0, 20.0, 30.0, 60.0, 10.0, 10.0, 10.0]}, {'name': 'Damage', 'value': [0.0, 150.0, 200.0, 300.0, 0.0, 0.0, 0.0]}, {'name': 'Duration', 'value': [4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]}]}",TFT8_Hecarim,1,ASSETS/UX/TFT/ChampionSplashes/TFT8_Hecarim.TFT_Set8.dds,Hackerim,"{'armor': 40.0, 'attackSpeed': 0.550000011920929, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 55.0, 'hp': 650.0, 'initialMana': 40.0, 'magicResist': 40.0, 'mana': 0.0, 'range': 1.0}",[]
"{'desc': ""Draven hurls 2 axes at his target's direction, which then come back to him. Enemies caught in their path take <scaleAD>@TotalDamage@</scaleAD> physical damage (@ADpercent*100@% Attack Damage %i:scaleAD% + @ModifiedDamage@), reduced by @FallOffPercent*100@% for each enemy they have already hit."", 'icon': 'ASSETS/Characters/Draven/HUD/Icons2D/Draven_WhirlingDeath.dds', 'name': 'Whirling Death', 'variables': [{'name': 'Damage', 'value': [0.0, 60.0, 95.0, 145.0, 0.0, 0.0, 0.0]}, {'name': 'ADPercent', 'value': [1.2999999523162842, 1.2999999523162842, 1.2999999523162842, 1.2999999523162842, 1.2999999523162842, 1.2999999523162842, 1.2999999523162842]}, {'name': 'FallOffPercent', 'value': [0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]}]}",TFT8_Draven,2,ASSETS/UX/TFT/ChampionSplashes/TFT8_Draven.TFT_Set8.dds,Draven,"{'armor': 15.0, 'attackSpeed': 0.75, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 70.0, 'hp': 600.0, 'initialMana': 70.0, 'magicResist': 15.0, 'mana': 140.0, 'range': 4.0}","['Mecha:PRIME', 'Ace']"
"{'desc': 'Leona locks onto her target and calls down an orbital laser strike. The laser deals @ModifiedMaxHealthPerSec@ true damage per second to the target until the target dies, and @ModifiedDamage@ magic damage to nearby enemies.', 'icon': 'ASSETS/Characters/Leona/HUD/Icons2D/LeonaZenithBlade.dds', 'name': 'Deus Ex Machina', 'variables': [{'name': 'MaxHealthPerSec', 'value': [0.0, 350.0, 525.0, 5000.0, 0.0, 0.0, 0.0]}, {'name': 'Damage', 'value': [0.0, 320.0, 480.0, 2000.0, 0.0, 0.0, 0.0]}]}",TFT8_Leona,5,ASSETS/UX/TFT/ChampionSplashes/TFT8_Leona.TFT_Set8.dds,Leona,"{'armor': 60.0, 'attackSpeed': 0.699999988079071, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 75.0, 'hp': 1100.0, 'initialMana': 0, 'magicResist': 60.0, 'mana': 75.0, 'range': 1.0}","['Mecha:PRIME', 'Renegade', 'Aegis']"
"{'desc': 'Passive: Jax leaps to his target and deals @ModifiedBaseDamage@ bonus magic damage every 3rd attack. The bonus damage increases by @ModifiedStackDamage@ every 3rd attack, and stacks up to @TotalStacks@ times.<br><br>Current Damage on hit: @TFTUnitProperty.:TFT8_Jax_TotalDamage@', 'icon': 'ASSETS/Characters/Jax/HUD/Icons2D/Armsmaster_RelentlessAssault.dds', 'name': 'Adaptive Strike', 'variables': [{'name': 'BaseDamage', 'value': [0.0, 80.0, 125.0, 210.0, 0.0, 0.0, 0.0]}, {'name': 'StackDamage', 'value': [50.0, 20.0, 30.0, 50.0, 50.0, 50.0, 50.0]}, {'name': 'TotalStacks', 'value': [7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0]}]}",TFT8_Jax,3,ASSETS/UX/TFT/ChampionSplashes/TFT8_Jax.TFT_Set8.dds,Jax,"{'armor': 45.0, 'attackSpeed': 0.800000011920929, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 45.0, 'hp': 800.0, 'initialMana': 0, 'magicResist': 45.0, 'mana': 0.0, 'range': 1.0}","['Mecha:PRIME', 'Brawler']"
"{'desc': 'Ashe gains <scaleAD>@TotalDamage@</scaleAD> Attack Damage (@ADPercent*100@% Attack Damage %i:scaleAD% + @ModifiedADGain@) for the next @Duration@ seconds.', 'icon': 'ASSETS/Characters/Ashe/HUD/Icons2D/Ashe_Q.dds', 'name': ""Ranger's Focus"", 'variables': [{'name': 'Duration', 'value': [5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]}, {'name': 'ADPercent', 'value': [0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579]}, {'name': 'ADGain', 'value': [0.0, 15.0, 22.0, 33.0, 0.0, 0.0, 0.0]}]}",TFT8_Ashe,1,ASSETS/UX/TFT/ChampionSplashes/TFT8_Ashe.TFT_Set8.dds,Ashe,"{'armor': 15.0, 'attackSpeed': 0.699999988079071, 'critChance': 0.25, 'critMultiplier': 1.399999976158142, 'damage': 60.0, 'hp': 500.0, 'initialMana': 0, 'magicResist': 15.0, 'mana': 50.0, 'range': 4.0}","['LaserCorps', 'Sureshot']"
