champ,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17
InfiniTeam,25,54,425,87,4,276,109,19,7,87,177,69,37,1414,11,1836,9215
Sureshot,1,83,20,0,10,296,62,378,6,18,12,224,21,2504,19,11105,4443
Defender,907,7729,1618,61,59,3321,1315,869,1194,2123,141,1100,35,506,579,4355,2722
Threat,809,1505,2787,1522,3892,8804,1960,1576,2229,3704,6574,1086,1291,3937,690,4968,2329
Ace,1464,4854,6034,179,240,3934,822,1013,6382,761,1070,2590,282,8066,160,7017,1813
Corrupted,450,832,1535,606,776,4715,953,521,1392,2155,4417,500,526,2652,333,3232,1503
Quickdraw,1801,133,17409,47,9,765,60,57,2750,201,99,1276,9,4,71,161,1496
Parallel,10,16,567,12,4,366,8,16,24,14,21,425,17,16,6,1260,1254
Spellslinger,4886,206,57,2403,56,2179,1910,166,47,213,55130,203,2094,3774,1817,134,770
Forecaster,1179,270,533,605,323,2772,520,238,598,509,12813,176,286,557,313,1067,615
Heart,1162,17,230,13221,260,691,529,275,11,530,18437,2013,78,34,1365,104,568
Aegis,2775,581,3713,2027,2850,10297,668,906,5012,6555,24395,1616,366,410,1365,5992,379
Duelist,1410,37,56,310,43,697,231,146,751,86,23601,1616,13576,4594,168,129,366
Mecha:PRIME,38,6895,1079,14,80,4230,325,265,70,2653,106,2352,14,39,107,4242,239
Ox Force,2337,82,1048,3427,1524,2558,542,35,387,5658,52555,682,2940,100,1874,519,210
Brawler,159,2184,1460,1612,76,1177,5715,11468,1177,318,332,4476,87,11715,38,1984,196
Renegade,6,42,3845,120,1011,565,2157,25,146,12627,381,72,9,33,22,75,193
Star Guardian,9056,165,2901,840,79,1737,133,43,2194,201,19920,82,888,25,560,215,102
Hacker,6,4756,13,40,310,88,5928,462,11,1577,57,300,26,6899,309,29,65
A.D.M.I.N.,40,1221,2830,598,63,396,11109,4533,37,1812,595,195,56,10551,79,554,65
Supers,2,20,103,3208,639,3,11,10,38,16,1,6352,393,38,48,25,44
Mascot,205,106,243,2379,14979,1311,399,46,3236,5730,2468,4402,167,48,986,651,44
LaserCorps,0,34,0,0,0,129,691,2550,1,7,13,866,117,30071,6,991,43
Underground,8,9,228,82,3,303,26,45,6,10,187,1633,16,4,4,1160,16
Riftwalker,2,179,16,18,5138,126,1563,19,6,6962,16,947,2,52,19,25,15
Prankster,367,22,430,39,46,273,19,18,7624,80,769,39,35,16,2125,85,9
Anima Squad,190,47,831,3,20,161,6,25,15415,39,33,163,38,0,59,3,6
Gadgeteen,41,8,0,437,12,39,15,1,8,1,227,35,4,0,3275,7,3
Nemesis Morgana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0